Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Payerne
Altitude [m asl]:         490 m
Coordinates:              46° 48.7' N / 6° 56.5' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2020

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.11.2022


Year  Month        Temperature      Precipitation  
2008      2                3.1               26.2  
2008      3                4.9               44.5  
2008      4                7.9              110.8  
2008      5               14.5               64.9  
2008      6               17.4               48.2  
2008      7               18.6              100.7  
2008      8               18.0               89.8  
2008      9               12.4              117.5  
2008     10                9.8               99.4  
2008     11                4.6               19.7  
2008     12                0.1               73.4  
2009      1               -2.5               36.7  
2009      2                0.1               36.1  
2009      3                4.9               49.8  
2009      4               11.0               21.8  
2009      5               15.5               42.0  
2009      6               16.9               74.2  
2009      7               19.0               87.4  
2009      8               20.0               62.0  
2009      9               15.4               34.9  
2009     10                9.4               31.7  
2009     11                7.0              111.8  
2009     12                1.3              124.3  
2010      1               -1.5               27.1  
2010      2                0.7               56.0  
2010      3                4.5               36.2  
2010      4               10.0               13.3  
2010      5               12.2               69.4  
2010      6               17.0               37.5  
2010      7               20.8               21.1  
2010      8               17.8              116.5  
2010      9               13.4               22.6  
2010     10                8.7               32.9  
2010     11                5.3               77.0  
2010     12               -0.9               83.9  
2011      1                1.3               21.1  
2011      2                2.5               18.3  
2011      3                6.3               18.1  
2011      4               11.9               16.5  
2011      5               15.1               66.8  
2011      6               16.7               71.7  
2011      7               16.6              102.3  
2011      8               19.3               47.8  
2011      9               16.4               67.6  
2011     10                9.7               44.7  
2011     11                4.9               11.2  
2011     12                3.8               95.1  
2012      1                2.7               65.0  
2012      2               -3.6                0.5  
2012      3                7.4               19.8  
2012      4                8.9              101.2  
2012      5               13.9               57.3  
2012      6               17.7              108.5  
2012      7               18.6               95.7  
2012      8               19.6               69.0  
2012      9               14.3              108.4  
2012     10               10.2               81.3  
2012     11                6.0              170.8  
2012     12                2.2              102.9  
2013      1                0.7               37.2  
2013      2               -0.9               46.9  
2013      3                2.6               72.3  
2013      4                9.2               91.5  
2013      5               10.9              117.8  
2013      6               16.2               53.9  
2013      7               20.6               90.1  
2013      8               18.6               69.0  
2013      9               15.0               75.2  
2013     10               11.5              136.6  
2013     11                4.7               89.5  
2013     12                0.5               77.3  
2014      1                2.8               77.3  
2014      2                3.6               95.3  
2014      3                6.7               28.9  
2014      4               10.7               63.8  
2014      5               12.4               81.8  
2014      6               17.7               42.0  
2014      7               17.7              192.8  
2014      8               17.0               90.0  
2014      9               15.2               21.2  
2014     10               12.4              139.6  
2014     11                6.5               84.1  
2014     12                3.5               24.5  
2015      1                1.7               64.2  
2015      2                0.1               32.6  
2015      3                6.3               47.7  
2015      4                9.8               65.2  
2015      5               14.2               99.7  
2015      6               18.5               72.2  
2015      7               22.5               30.7  
2015      8               19.8               73.7  
2015      9               13.2               64.0  
2015     10                9.0               42.0  
2015     11                7.2               40.1  
2015     12                2.8               11.2  
2016      1                3.1              119.6  
2016      2                4.1               71.4  
2016      3                4.9               32.1  
2016      4                8.9              118.9  
2016      5               12.7              130.3  
2016      6               16.8              129.4  
2016      7               19.9              114.1  
